artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,0.543,0.461,3.0,-6.724,1.0,0.0302,0.577,0.0,0.0563,0.385,96.803,audio_features,1n7xFAY4xoPeqRvrkzAtsw,spotify:track:1n7xFAY4xoPeqRvrkzAtsw,https://api.spotify.com/v1/tracks/1n7xFAY4xoPeqRvrkzAtsw,https://api.spotify.com/v1/audio-analysis/1n7xFAY4xoPeqRvrkzAtsw,173173.0,4.0
Queen,The Show Must Go On - Remastered 2011,0.426,0.687,11.0,-6.926,0.0,0.0329,0.409,0.0,0.112,0.189,84.141,audio_features,5n6RDaGFSN88oRWuGtYAIN,spotify:track:5n6RDaGFSN88oRWuGtYAIN,https://api.spotify.com/v1/tracks/5n6RDaGFSN88oRWuGtYAIN,https://api.spotify.com/v1/audio-analysis/5n6RDaGFSN88oRWuGtYAIN,277827.0,4.0
Queen,You're My Best Friend - Remastered 2011,0.51,0.76,0.0,-6.995,1.0,0.0411,0.148,0.0116,0.0706,0.55,118.829,audio_features,4vhVDkSx9RSb2k6mWFMYNI,spotify:track:4vhVDkSx9RSb2k6mWFMYNI,https://api.spotify.com/v1/tracks/4vhVDkSx9RSb2k6mWFMYNI,https://api.spotify.com/v1/audio-analysis/4vhVDkSx9RSb2k6mWFMYNI,170787.0,4.0
Queen,I Want It All - Single Version,0.406,0.847,11.0,-5.705,0.0,0.0482,0.0249,3.01e-06,0.375,0.379,92.245,audio_features,1MX6kqZ8FOht5UnQuPl6Jj,spotify:track:1MX6kqZ8FOht5UnQuPl6Jj,https://api.spotify.com/v1/tracks/1MX6kqZ8FOht5UnQuPl6Jj,https://api.spotify.com/v1/audio-analysis/1MX6kqZ8FOht5UnQuPl6Jj,242093.0,4.0
Queen,Fat Bottomed Girls - Remastered 2011,0.337,0.684,2.0,-7.674,1.0,0.0495,0.0319,6.57e-06,0.342,0.404,88.772,audio_features,4igIYHF3B5VBxEafHauVo3,spotify:track:4igIYHF3B5VBxEafHauVo3,https://api.spotify.com/v1/tracks/4igIYHF3B5VBxEafHauVo3,https://api.spotify.com/v1/audio-analysis/4igIYHF3B5VBxEafHauVo3,255600.0,4.0
Queen,Radio Ga Ga - Live Aid,0.406,0.934,5.0,-6.668,1.0,0.0845,0.0138,0.0,0.955,0.395,118.823,audio_features,0YwBZKT8JE4U5TwmYE9BV9,spotify:track:0YwBZKT8JE4U5TwmYE9BV9,https://api.spotify.com/v1/tracks/0YwBZKT8JE4U5TwmYE9BV9,https://api.spotify.com/v1/audio-analysis/0YwBZKT8JE4U5TwmYE9BV9,245680.0,4.0
Queen,Hammer To Fall - Remastered 2011,0.428,0.787,9.0,-4.998,1.0,0.0849,0.315,2.03e-05,0.124,0.523,128.582,audio_features,4zguEJ2UaLe4zbEIDWqiVP,spotify:track:4zguEJ2UaLe4zbEIDWqiVP,https://api.spotify.com/v1/tracks/4zguEJ2UaLe4zbEIDWqiVP,https://api.spotify.com/v1/audio-analysis/4zguEJ2UaLe4zbEIDWqiVP,218320.0,4.0
Queen,Too Much Love Will Kill You - Remastered 2011,0.385,0.395,7.0,-7.602,1.0,0.0313,0.58,6.31e-05,0.159,0.21,72.933,audio_features,0W1uTK6I97CbjFKAVtRGfK,spotify:track:0W1uTK6I97CbjFKAVtRGfK,https://api.spotify.com/v1/tracks/0W1uTK6I97CbjFKAVtRGfK,https://api.spotify.com/v1/audio-analysis/0W1uTK6I97CbjFKAVtRGfK,259213.0,4.0
Queen,Bicycle Race - Remastered 2011,0.463,0.671,3.0,-6.438,1.0,0.0683,0.0626,0.0,0.0947,0.633,84.28,audio_features,5CTAcf8aS0a0sIsDwQRF9C,spotify:track:5CTAcf8aS0a0sIsDwQRF9C,https://api.spotify.com/v1/tracks/5CTAcf8aS0a0sIsDwQRF9C,https://api.spotify.com/v1/audio-analysis/5CTAcf8aS0a0sIsDwQRF9C,180813.0,4.0
Queen,We Are The Champions - Live Aid,0.316,0.86,7.0,-5.038,0.0,0.0661,0.175,4.92e-05,0.902,0.195,100.888,audio_features,4XaG9IpCXklOcuau1sIrUX,spotify:track:4XaG9IpCXklOcuau1sIrUX,https://api.spotify.com/v1/tracks/4XaG9IpCXklOcuau1sIrUX,https://api.spotify.com/v1/audio-analysis/4XaG9IpCXklOcuau1sIrUX,237026.0,3.0
