track,artist,genre,year
Suspicious Minds, Elvis Presley,Blue-Eyed Soul,1969
I'm Waiting for the Man, The Velvet Underground,Garage Rock,1967
"Get Up, Stand UP", Bob Marley and The Wailers,Reggae,1973
Dancing in the Street, Martha and the Vandellas,Soul,1965
Losing My Religion, R.E.M.,Alternative Rock,1991
Paranoid, Black Sabbath,Heavy Metal,1970
Bo Diddley, Bo Diddley,Rock & Roll,1955
Norwegian Wood (This Bird Has Flown), The Beatles,Raga Rock,1965
Walk on By, Dionne Warwick,Pop,1964
Sign O' the Times, Prince,Rock,1987
Everyday People, Sly and the Family Stone,Psychedelic Soul,1969
Light My Fire, The Doors,Psychedelic Rock,1967
I Fought the Law, The Bobby Fuller Four,Rock,1966
While My Guitar Gently Weeps, The Beatles,Rock,1968
Waterloo Sunset, The Kinks,Rock,1967
Maybellene, Chuck Berry,Rock & Roll,1955
One, U2,Rock,1991
Let's Stay Together, Al Green,R&B,1971
Hey Joe, the Jimi Hendrix Experience,Rock,1966
Smokestack Lightnin', Howlin' Wolf,Blues,1956
Unfinished Sympathy, Massive Attack,Progressive Rock,1979
Sunshine of Your Love, Cream,Trip-Hop,1991
London Calling, The Clash,Psychedelic Rock,1967
Thunder Road, Bruce Springsteen,Punk,1979
Billie Jean, Michael Jackson,Rock,1975
Whole Lotta Love, Led Zeppelin,Dance-Pop,1982
"Shake, Rattle and Roll", Big Joe Turner,Hard Rock,1969
Fight the Power, Public Enemy,Rock & Roll,1954
A Day in the Life,,Hip-Hop,1989
Louie Louie, the Kingsmen,Rock,1967
The Harder They Come, Jimmy Cliff,Rock & Roll,1963
(I Can't Get No) Satisfaction, The Rolling Stones,Reggae,1972
Superstition, Stevie Wonder,Rock,1965
Don't Be Cruel, Elvis Presley,Funk,1972
Strawberry Fields Forever, The Beatles,Rock & Roll,1956
That'll Be the Day, Buddy Holly and The Crickets,Psychedelic Rock,1967
God Only Knows, The Beach Boys,Rock & Roll,1957
Voodoo Child (Slight Return), The Jimi Hendrix Experience,Baroque Pop,1966
Fortunate Son, Creedence Clearwater Revival,Psychedelic Rock,1968
Bridge Over Troubled Water, Simon and Garfunkel,Roots Rock,1969
The Message, Grandmaster Flash and the Furious Five,Pop,1970
A Change is Gonna Come, Sam Cooke,Old-School Rap,1982
Papa's Got a Brand New Bag, James Brown,Soul,1964
Blitzkrieg Bop, the Ramones,R&B,1965
