artist,song,cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Queen,A Kind Of Magic - Remastered 2011,5,0.7998113782111782,0.38979756274282273,0.5802276790762517,-0.4419838153121858,-0.7514916758648419,-0.44432795509273704,-0.4284696185370462,0.8072344338683745,0.3200629807008277
Queen,Bohemian Rhapsody - Remastered 2011,3,-0.7296167178994023,-1.1991691489033218,-0.48882998448382153,-0.2630621759210758,0.12761907794910504,-0.45580346811596906,0.6017475199486497,-1.1119264158685966,-1.7760867660522706
Queen,Another One Bites The Dust - Remastered 2011,5,2.3710597738247823,-0.669513578354607,0.42253244404691664,1.1270213301175478,-0.4257404226701252,0.7620060772066106,-0.2188324101242592,1.0115709752808706,-0.39593713864737895
Queen,Don't Stop Me Now - Remastered 2011,0,0.1366609146632314,0.7827678247628368,0.7379229141055866,1.2396293549091557,-0.650216446506228,-0.455116498628864,3.4528135543625527,0.430614141853186,1.249360888690736
Queen,Under Pressure - Remastered 2011,5,0.8057857067116102,0.11642694568542125,0.06837742624692209,-0.2918397822567088,0.6774983301367676,-0.45580346811596906,-0.578210481689037,-0.15835588927694902,-0.25963395636185616
Queen,We Will Rock You - Remastered 2011,3,0.9312466052206807,-0.8019274709917859,0.19996592504230368,0.6015172144233786,1.5371196927339368,-0.45580346811596906,0.3561725043793851,-0.10627010421101887,-1.4137362270061042
Queen,Crazy Little Thing Called Love - Remastered 2011,5,0.3756340546805091,0.32572632436999427,0.3130951153894353,-0.36065579740713577,1.6658888847019335,-0.4557849667786459,0.8952396117265514,0.8432938235294032,-1.566198332673574
Queen,Radio Ga Ga - Remastered 2011,5,1.2419116872431426,-0.7805703915341763,0.09369304926166484,-0.4382302144857988,-0.17864278402883377,-0.4549135303713102,-0.0631019124461889,0.634950683265682,-0.31152008177070195
Queen,I Want To Break Free - Single Remix,5,1.5466024407651724,-1.0667552562661433,-0.22486187367384758,-0.48202222412697965,-0.5228393539108581,-0.45478862682820026,-0.738133723535363,0.37852835678725566,-0.43205499596482966
Queen,We Are The Champions - Remastered 2011,3,-1.6018686789624674,-0.9642412748696177,0.29911878185004587,-0.45449581806680883,0.5000056601268259,-0.45580346811596906,-0.48836596379784253,-1.3082497595786418,-2.0221285708657413
Queen,Somebody To Love - Remastered 2011,1,-0.7774113459028577,0.056627123204114685,0.27696761171214607,-0.1066621414882874,-0.1682020387341313,-0.45580346811596906,0.20044200670131482,-0.6752071410850269,-0.42083253489077405
Queen,Love Of My Life - Remastered 2011,3,-1.2374346404361183,-2.1602377244957482,-0.9268430035201513,-0.5133022310135373,2.4315435396467806,-0.4557837958079292,-0.5063348673760814,-0.9877218514806089,1.1740709599660604
Queen,Killer Queen - Remastered 2011,5,-0.006722969347135616,-0.14412942369741402,0.4610332873818381,-0.206758163525272,0.5452488897372033,-0.45580346811596906,-0.398521445906648,0.44263393840686227,-0.13842427393859202
Queen,Don't Stop Me Now - ...Revisited,7,-0.42492596437737246,0.9920672034474098,0.45971476534982003,2.0779335394689014,-0.7626284708458578,-0.37773875367221393,0.5178926365835349,-0.44683100656517855,1.2055364679142033
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,3,0.04107165865632006,-0.9556984430865739,0.3560789336332171,-0.5095486301871504,1.1925750980087555,-0.45580346811596906,-0.8579264140569556,-0.46686400082130564,-0.8634449790868314
Queen,The Show Must Go On - Remastered 2011,1,-0.6579247758942188,0.009641548397374286,0.30281064353969595,-0.47576622274966807,0.6078933615054178,-0.45580346811596906,-0.5243037709543202,-1.2521573756614859,-1.3131247326301572
Queen,You're My Best Friend - Remastered 2011,1,-0.1560811818579346,0.32145490847847236,0.2846150394978496,-0.3731678001617589,-0.30045147913369574,-0.4105259337385911,-0.7722746403340169,0.1942248096308871,-0.08121103093130297
Queen,I Want It All - Single Version,1,-0.7774113459028577,0.693068091040877,0.624793723758455,-0.284332580603935,-0.7288700610596531,-0.45579171937644525,1.050970109404622,-0.49090359392865807,-1.0253183258448852
Queen,Fat Bottomed Girls - Remastered 2011,1,-1.1896400124326625,-0.003172699277191408,0.10555974754982547,-0.268066977022925,-0.7045083220386807,-0.4557778238572743,0.8533121700439944,-0.3907386226480228,-1.148658855307527
Queen,Radio Ga Ga - Live Aid,0,-0.7774113459028577,1.064681273603282,0.370846380391817,0.16985311938888267,-0.7675008186500523,-0.45580346811596906,4.524958134530806,-0.42679801230905146,-0.08142411563524074
Queen,Hammer To Fall - Remastered 2011,1,-0.6459761188933549,0.4367831375495636,0.811232739085779,0.17485792049073187,0.28075000893807434,-0.4557242324308086,-0.4524281566413647,0.08604664064780095,0.265158155319531
Queen,Too Much Love Will Kill You - Remastered 2011,3,-0.9028722444119288,-1.237611891927019,0.12454646481088254,-0.495785427157065,1.203015843303458,-0.455557173941899,-0.24279094822857775,-1.1680187997857525,-1.7111669595858987
Queen,Bicycle Race - Remastered 2011,1,-0.43687462137823635,-0.05870110586697608,0.43149839386463823,-0.03284132523601122,-0.5976646951895589,-0.45580346811596906,-0.6279244482554978,0.526772514282596,-1.3081882703222658
Queen,We Are The Champions - Live Aid,0,-1.3151009109417338,0.7485964976306616,0.8006845628296362,-0.060367731296181906,-0.20648477148137367,-0.4556114289184374,4.207507504648586,-1.2281177825541334,-0.7183698098225373
Queen,Who Wants To Live Forever - Remastered 2011,3,-2.1156609299996156,-1.2675118031676722,-0.1576172500409375,-0.48202222412697965,1.0777268997670286,-0.4505731322482375,-0.512324501902161,-1.8523458835750521,0.6449461259712714
